Date,Purchase_Bid,Sell_Bid,MCV,Final_Scheduled_Volume,MCP,Weighted_MCP_lag_1,Weighted_MCP_lag_2,Weighted_MCP_lag_3,Weighted_MCP_lag_4,Weighted_MCP_lag_5,Weighted_MCP_lag_6,Weighted_MCP_lag_7,Purchase_Bid_lag_1,Purchase_Bid_lag_2,Purchase_Bid_lag_3,Purchase_Bid_lag_4,Purchase_Bid_lag_5,Purchase_Bid_lag_6,Purchase_Bid_lag_7,Sell_Bid_lag_1,Sell_Bid_lag_2,Sell_Bid_lag_3,Sell_Bid_lag_4,Sell_Bid_lag_5,Sell_Bid_lag_6,Sell_Bid_lag_7
2023-10-31,259749.91,274650.88,167865.36,167865.36,4773.41,4533.55,3965.82,4912.64,4849.21,4946.12,4767.86,3496.05,256845.21,209706.91,245889.82,219270.54,244954.63,244747.64,166120.34,305169.8,302438.85,280501.25,275069.23,264342.96,272459.5,311542.27
2023-11-01,284492.25,297653.69,189356.76,189356.76,4938.24,4713.83,4533.55,3965.82,4912.64,4849.21,4946.12,4767.86,259749.91,256845.21,209706.91,245889.82,219270.54,244954.63,244747.64,274650.88,305169.8,302438.85,280501.25,275069.23,264342.96,272459.5
2023-11-02,307377.36,314208.12,205730.82,205730.82,5008.32,5047.84,4713.83,4533.55,3965.82,4912.64,4849.21,4946.12,284492.25,259749.91,256845.21,209706.91,245889.82,219270.54,244954.63,297653.69,274650.88,305169.8,302438.85,280501.25,275069.23,264342.96
2023-11-03,287187.09,319266.78,199321.81,199321.81,4635.89,5133.62,5047.84,4713.83,4533.55,3965.82,4912.64,4849.21,307377.36,284492.25,259749.91,256845.21,209706.91,245889.82,219270.54,314208.12,297653.69,274650.88,305169.8,302438.85,280501.25,275069.23
2023-11-04,296540.56,298252.28,194526.91,194526.91,4973.76,4721.57,5133.62,5047.84,4713.83,4533.55,3965.82,4912.64,287187.09,307377.36,284492.25,259749.91,256845.21,209706.91,245889.82,319266.78,314208.12,297653.69,274650.88,305169.8,302438.85,280501.25
2023-11-05,269863.85,328354.87,185764.36,185764.36,4387.51,4958.88,4721.57,5133.62,5047.84,4713.83,4533.55,3965.82,296540.56,287187.09,307377.36,284492.25,259749.91,256845.21,209706.91,298252.28,319266.78,314208.12,297653.69,274650.88,305169.8,302438.85
2023-11-06,283578.56,318696.42,191489.11,191489.11,4715.46,4516.78,4958.88,4721.57,5133.62,5047.84,4713.83,4533.55,269863.85,296540.56,287187.09,307377.36,284492.25,259749.91,256845.21,328354.87,298252.28,319266.78,314208.12,297653.69,274650.88,305169.8
2023-11-07,254010.64,323730.57,170843.8,170843.8,4321.3,4829.43,4516.78,4958.88,4721.57,5133.62,5047.84,4713.83,283578.56,269863.85,296540.56,287187.09,307377.36,284492.25,259749.91,318696.42,328354.87,298252.28,319266.78,314208.12,297653.69,274650.88
2023-11-08,252252.39,317447.18,174647.13,174647.13,4203.34,4484.1,4829.43,4516.78,4958.88,4721.57,5133.62,5047.84,254010.64,283578.56,269863.85,296540.56,287187.09,307377.36,284492.25,323730.57,318696.42,328354.87,298252.28,319266.78,314208.12,297653.69
2023-11-09,271647.22,313655.83,190589.4,190589.4,4405.23,4375.9,4484.1,4829.43,4516.78,4958.88,4721.57,5133.62,252252.39,254010.64,283578.56,269863.85,296540.56,287187.09,307377.36,317447.18,323730.57,318696.42,328354.87,298252.28,319266.78,314208.12
2023-11-10,246667.98,299133.23,172270.77,172270.77,4164.51,4521.8,4375.9,4484.1,4829.43,4516.78,4958.88,4721.57,271647.22,252252.39,254010.64,283578.56,269863.85,296540.56,287187.09,313655.83,317447.18,323730.57,318696.42,328354.87,298252.28,319266.78
2023-11-11,225061.11,316693.95,161706.44,161706.44,3807.68,4361.69,4521.8,4375.9,4484.1,4829.43,4516.78,4958.88,246667.98,271647.22,252252.39,254010.64,283578.56,269863.85,296540.56,299133.23,313655.83,317447.18,323730.57,318696.42,328354.87,298252.28
2023-11-12,158716.91,366585.03,118454.73,118454.73,2863.55,3943.21,4361.69,4521.8,4375.9,4484.1,4829.43,4516.78,225061.11,246667.98,271647.22,252252.39,254010.64,283578.56,269863.85,316693.95,299133.23,313655.83,317447.18,323730.57,318696.42,328354.87
2023-11-13,160214.16,417234.7,123039.09,123039.09,2696.94,2925.03,3943.21,4361.69,4521.8,4375.9,4484.1,4829.43,158716.91,225061.11,246667.98,271647.22,252252.39,254010.64,283578.56,366585.03,316693.95,299133.23,313655.83,317447.18,323730.57,318696.42
2023-11-14,167773.81,347619.46,120504.49,120504.49,2858.75,2748.44,2925.03,3943.21,4361.69,4521.8,4375.9,4484.1,160214.16,158716.91,225061.11,246667.98,271647.22,252252.39,254010.64,417234.7,366585.03,316693.95,299133.23,313655.83,317447.18,323730.57
2023-11-15,206125.74,296833.76,138026.96,138026.96,3323.28,2905.72,2748.44,2925.03,3943.21,4361.69,4521.8,4375.9,167773.81,160214.16,158716.91,225061.11,246667.98,271647.22,252252.39,347619.46,417234.7,366585.03,316693.95,299133.23,313655.83,317447.18
2023-11-16,234601.26,297365.71,152918.77,152918.77,3614.61,3375.29,2905.72,2748.44,2925.03,3943.21,4361.69,4521.8,206125.74,167773.81,160214.16,158716.91,225061.11,246667.98,271647.22,296833.76,347619.46,417234.7,366585.03,316693.95,299133.23,313655.83
2023-11-17,245583.55,318933.7,172150.23,172150.23,3647.44,3754.64,3375.29,2905.72,2748.44,2925.03,3943.21,4361.69,234601.26,206125.74,167773.81,160214.16,158716.91,225061.11,246667.98,297365.71,296833.76,347619.46,417234.7,366585.03,316693.95,299133.23
2023-11-18,289555.21,316622.87,189602.27,189602.27,3941.68,3794.9,3754.64,3375.29,2905.72,2748.44,2925.03,3943.21,245583.55,234601.26,206125.74,167773.81,160214.16,158716.91,225061.11,318933.7,297365.71,296833.76,347619.46,417234.7,366585.03,316693.95
2023-11-19,280579.04,335154.29,185647.06,185647.06,3522.22,4025.2,3794.9,3754.64,3375.29,2905.72,2748.44,2925.03,289555.21,245583.55,234601.26,206125.74,167773.81,160214.16,158716.91,316622.87,318933.7,297365.71,296833.76,347619.46,417234.7,366585.03
2023-11-20,325764.55,296232.18,189491.02,189491.02,4397.9,3617.37,4025.2,3794.9,3754.64,3375.29,2905.72,2748.44,280579.04,289555.21,245583.55,234601.26,206125.74,167773.81,160214.16,335154.29,316622.87,318933.7,297365.71,296833.76,347619.46,417234.7
2023-11-21,328558.35,318907.33,204376.89,204376.89,4122.01,4569.67,3617.37,4025.2,3794.9,3754.64,3375.29,2905.72,325764.55,280579.04,289555.21,245583.55,234601.26,206125.74,167773.81,296232.18,335154.29,316622.87,318933.7,297365.71,296833.76,347619.46
2023-11-22,311276.61,314545.05,191224.49,191224.49,4200.24,4179.99,4569.67,3617.37,4025.2,3794.9,3754.64,3375.29,328558.35,325764.55,280579.04,289555.21,245583.55,234601.26,206125.74,318907.33,296232.18,335154.29,316622.87,318933.7,297365.71,296833.76
2023-11-23,352612.67,299778.84,202717.02,202717.02,4444.78,4198.04,4179.99,4569.67,3617.37,4025.2,3794.9,3754.64,311276.61,328558.35,325764.55,280579.04,289555.21,245583.55,234601.26,314545.05,318907.33,296232.18,335154.29,316622.87,318933.7,297365.71
