Date,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
06-03-2025,364084.07,330415.90,184777.43,184777.43,4814.32,4468.00
07-03-2025,376403.17,319439.65,184094.02,184094.02,5070.85,4656.42
08-03-2025,333085.65,336147.99,178342.10,178342.10,4609.86,4309.84
09-03-2025,289726.98,369660.78,158029.23,158029.23,3500.63,3437.71
10-03-2025,359539.62,304804.86,176428.55,176428.55,4940.85,4811.29
11-03-2025,355529.71,306630.76,180886.78,180886.78,4776.42,4678.79
12-03-2025,364785.50,299675.13,190729.97,190729.97,4853.12,4681.58
13-03-2025,354818.09,302158.93,189007.92,189007.92,4603.62,4546.10
14-03-2025,296529.29,499061.80,209500.20,209500.20,2969.51,3056.18
15-03-2025,294882.15,418820.35,185095.43,185095.43,3596.52,3514.95
16-03-2025,294650.29,439654.03,194075.58,194075.58,3235.10,3186.81
17-03-2025,366686.31,301768.43,177059.03,177059.03,4901.02,4584.31
18-03-2025,359837.82,305501.18,186635.66,186635.66,5136.01,4714.66
19-03-2025,288650.03,344101.82,195226.04,195226.04,4667.96,4325.82
20-03-2025,352880.07,346899.50,184024.23,184024.23,4554.19,4181.42
21-03-2025,367225.04,315443.46,168832.85,168832.85,5091.47,4491.87
01-05-2022,412476.43,73752.33,73419.28,73419.28,11968.66,11956.55
02-05-2022,336618.93,73148.22,73148.22,73148.22,12000.00,12000.00
03-05-2022,277823.35,106301.43,96564.08,96564.08,11745.39,11638.24
04-05-2022,397808.20,102239.81,97361.75,97361.75,11669.49,11452.88
05-05-2022,341834.62,101354.63,93334.62,93334.63,11304.13,10992.02
06-05-2022,247290.09,107756.32,91345.84,91345.84,10380.10,10118.73
07-05-2022,233076.20,134475.51,100984.03,100984.03,9620.95,9382.96
08-05-2022,135393.43,142903.35,75145.21,75145.21,6844.69,7235.54
09-05-2022,170429.40,136998.95,94079.82,94079.82,8088.64,8275.96
10-05-2022,155469.26,172410.50,98274.66,98274.66,5484.38,5450.17
11-05-2022,185659.78,193402.49,106851.40,106851.40,5876.71,5945.11
12-05-2022,189254.20,204481.24,114909.94,114909.95,5887.10,5994.53
13-05-2022,187883.37,215020.75,124009.06,124009.05,4840.23,5040.81
14-05-2022,163662.02,222312.53,111960.14,111960.14,4358.88,4533.68
15-05-2022,134073.49,267811.68,95361.85,95361.84,3345.70,3499.15
16-05-2022,160805.72,203536.97,93707.24,93707.23,4677.99,4870.04
17-05-2022,186553.40,197959.02,105000.15,105000.15,5133.35,5307.90
18-05-2022,206774.15,166706.01,109089.14,109089.15,5905.63,6016.61
19-05-2022,237297.45,186919.18,137089.53,137089.53,6515.07,6681.16
20-05-2022,230449.86,176364.70,128320.29,128320.30,6943.46,7071.27
21-05-2022,193844.33,194849.03,120727.92,120727.92,6488.30,7021.05
22-05-2022,103943.60,251457.84,70117.06,70117.06,2887.33,2873.58
23-05-2022,124776.59,269126.47,79176.31,79176.31,3470.76,3544.29
24-05-2022,139168.64,259021.44,87926.01,87926.01,3541.35,3753.74
25-05-2022,225771.86,203958.06,111503.82,111503.81,4928.54,5088.22
26-05-2022,244184.65,187660.58,140291.21,140291.21,6613.75,6678.40
27-05-2022,210867.71,184508.76,125046.27,125046.23,7024.45,7266.56
28-05-2022,161558.04,201219.77,98657.08,98657.08,5222.36,5883.97
29-05-2022,142050.19,237223.12,97128.62,97128.62,4335.59,4706.08
30-05-2022,206761.47,184686.65,114922.15,114922.15,6449.59,6851.21
31-05-2022,190115.41,195612.97,107049.77,107049.77,5916.41,6296.90
01-05-2023,109413.89,339120.21,90102.76,90102.76,2840.51,2903.64
02-05-2023,148022.77,346873.55,112092.23,112092.23,3042.68,3055.14
03-05-2023,162061.94,327779.28,122354.42,122354.42,3114.50,3180.99
04-05-2023,185689.17,249851.47,122990.26,122990.26,3609.86,3630.04
05-05-2023,182978.90,257929.47,119950.49,119950.49,3639.64,3675.95
06-05-2023,204564.77,251492.28,131151.57,131151.57,3833.42,3829.27
07-05-2023,195296.08,296268.86,132028.55,132028.55,3635.27,3648.69
08-05-2023,256019.18,225938.26,135755.04,135755.04,5235.14,5036.23
09-05-2023,221616.68,230084.71,135200.56,135200.56,5354.91,5318.52
10-05-2023,268390.96,222247.64,141932.12,142345.10,6060.01,5722.98
11-05-2023,257381.63,247701.19,132997.56,132997.56,5543.41,5349.82
12-05-2023,263628.99,232758.06,135639.69,135639.69,5799.13,5570.63
13-05-2023,247766.38,299006.39,151216.73,151216.73,4930.44,4962.93
14-05-2023,202358.85,331469.35,131188.75,131188.75,4061.72,4110.29
15-05-2023,218617.20,239400.21,126386.03,126386.03,4822.31,5016.11
16-05-2023,208067.34,265759.95,121905.52,121905.52,4603.59,4730.93
17-05-2023,247259.09,214387.03,119540.18,119540.18,5711.30,5749.79
18-05-2023,314821.72,202203.43,133325.44,133325.44,6677.67,6061.33
19-05-2023,308716.00,207998.90,142887.87,142887.87,6523.18,6227.88
20-05-2023,305828.60,211987.94,142295.88,142295.88,6574.89,6344.38
21-05-2023,240582.41,269436.42,130089.58,130089.58,5116.54,5440.37
22-05-2023,270732.04,278827.37,144738.34,144738.34,5618.67,5955.52
23-05-2023,220527.56,301775.83,127597.28,127597.28,5017.12,5114.18
24-05-2023,214665.71,302921.14,136569.37,136569.37,5022.04,5042.60
25-05-2023,176723.89,410174.33,133426.23,133426.23,3470.08,3416.19
26-05-2023,177133.41,320176.61,119611.28,119611.28,3504.13,3577.28
27-05-2023,165325.84,355348.72,123621.79,123621.79,2897.59,3010.98
28-05-2023,198383.45,275413.77,121518.23,121518.23,3655.31,3746.40
29-05-2023,253748.06,229278.17,129749.63,129749.63,5576.32,5497.69
30-05-2023,227723.58,223902.41,125357.06,125357.06,5436.19,5419.77
31-05-2023,236116.00,231947.35,126125.54,126125.54,5943.32,5796.67
01-05-2024,255758.30,240739.51,115415.33,115415.33,5673.59,5034.01
02-05-2024,266624.12,229535.53,118885.18,118885.18,5800.43,4916.73
03-05-2024,284351.25,264744.01,131031.70,131031.70,5760.28,5079.94
04-05-2024,284669.21,246759.39,124907.26,124775.37,5844.17,4957.96
05-05-2024,236363.70,281825.79,129513.31,129513.31,5154.38,4648.37
06-05-2024,315238.66,215811.06,130260.78,130260.78,6140.86,5308.50
07-05-2024,238501.95,220266.88,111977.36,111977.36,5697.74,4814.31
08-05-2024,193289.05,226571.00,103647.98,103642.77,5143.32,4294.55
09-05-2024,157033.03,285601.23,102898.19,102898.19,4286.52,3866.56
10-05-2024,185044.73,280415.53,113123.38,113123.38,4785.17,4234.75
11-05-2024,170499.64,268649.51,111403.02,111403.02,4648.77,4267.44
12-05-2024,126998.31,349552.93,99535.58,99331.07,3080.80,3059.71
13-05-2024,186651.02,280137.23,130454.25,130454.25,4662.21,4476.99
14-05-2024,205026.13,289374.03,134693.31,134693.31,5005.22,4595.91
